Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,AI ML,Software Engineering,Business Analysis,Data Science,Role
Not Interested,Not Interested,Not Interested,Professional,No Experience,Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
Not Interested,Excellent,Excellent,Professional,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Professional,Not Interested,Beginner,Not Interested,No Experience,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
Beginner,Beginner,Beginner,,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Cyber Security Specialist
Intermediate,Excellent,,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Average,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,,,Not Interested,Not Interested,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Average,Excellent,Excellent,Excellent,Cyber Security Specialist
Excellent,Average,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,,Cyber Security Specialist
,Average,Average,Expert,Average,Average,Intermediate,Average,Average,Average,Intermediate,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Beginner,Poor,No Experience,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Cyber Security Specialist
Average,Not Interested,Average,Professional,Average,Average,Average,Average,Average,Average,Average,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Cyber Security Specialist
Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Excellent,Beginner,Beginner,Beginner,Beginner,Cyber Security Specialist
Average,Average,Average,Professional,Average,Average,Poor,,Average,Average,Average,Cyber Security Specialist
Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Cyber Security Specialist
Beginner,Beginner,Beginner,Professional,Beginner,Beginner,,Beginner,Novice,Beginner,Beginner,Cyber Security Specialist
Novice,Entry-level,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,,Intermediate,Cyber Security Specialist
Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Poor,Intermediate,Intermediate,Intermediate,Average,Cyber Security Specialist
Novice,Beginner,Beginner,Professional,Beginner,Novice,Beginner,Beginner,Novice,Beginner,Beginner,Cyber Security Specialist
Poor,No Experience,,Expert,Average,Poor,Poor,Poor,No Experience,No Experience,No Experience,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Excellent,,Not Interested,Cyber Security Specialist
Beginner,Beginner,Beginner,,Beginner,Beginner,,Beginner,Beginner,Novice,Beginner,Cyber Security Specialist
Beginner,Beginner,Entry-level,Expert,Beginner,Not Interested,,Beginner,Beginner,Beginner,Beginner,Cyber Security Specialist
Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Cyber Security Specialist
Beginner,Beginner,Beginner,Expert,Beginner,Beginner,Not Interested,Beginner,Beginner,Beginner,Beginner,Cyber Security Specialist
Average,Average,Average,,,Intermediate,Average,Novice,Average,Average,Average,Cyber Security Specialist
Average,Average,Average,Professional,Average,Average,Average,Not Interested,Average,Average,Average,Cyber Security Specialist
Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Cyber Security Specialist
Average,Average,Average,Professional,Excellent,Average,Average,Average,Average,Average,Average,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Not Interested,Not Interested,No Experience,Professional,Not Interested,Not Interested,,Not Interested,Not Interested,Poor,Not Interested,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Intermediate,Excellent,Cyber Security Specialist
Average,Average,Excellent,Professional,Average,Intermediate,Average,Intermediate,Average,,Average,Cyber Security Specialist
Excellent,Excellent,Excellent,Advanced,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Poor,,Poor,Professional,Poor,Poor,Poor,,Average,Poor,Poor,Cyber Security Specialist
Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Cyber Security Specialist
No Experience,Average,Average,Professional,,Intermediate,Average,,Average,Average,Average,Cyber Security Specialist
Intermediate,Intermediate,Intermediate,Professional,,Intermediate,Intermediate,Average,Average,Intermediate,Intermediate,Cyber Security Specialist
No Experience,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,No Experience,Poor,Cyber Security Specialist
Average,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Average,Intermediate,Competent,Intermediate,Intermediate,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Professional,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,No Experience,No Experience,Not Interested,Not Interested,Cyber Security Specialist
Average,Average,Intermediate,Professional,Average,Intermediate,Intermediate,Average,Average,Average,Average,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Professional,Not Interested,Average,Not Interested,Not Interested,Not Interested,,Not Interested,Cyber Security Specialist
Not Interested,,Not Interested,Expert,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Advanced,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
Poor,Poor,Poor,Professional,Poor,Intermediate,Poor,Poor,Poor,No Experience,No Experience,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Cyber Security Specialist
Average,Average,Average,Professional,No Experience,Average,Intermediate,Average,Intermediate,Average,Average,Cyber Security Specialist
,Poor,Beginner,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Cyber Security Specialist
Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Professional,Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,,Excellent,Not Interested,Cyber Security Specialist
Average,Average,Intermediate,Professional,Average,Average,No Experience,Average,Average,Average,Average,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Excellent,Not Interested,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,No Experience,Cyber Security Specialist
Poor,No Experience,No Experience,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Cyber Security Specialist
Not Interested,,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
Average,Average,Average,Professional,Average,Average,Average,Average,Intermediate,,Average,Cyber Security Specialist
Not Interested,Not Interested,,Professional,Not Interested,Not Interested,Poor,Not Interested,Not Interested,,Not Interested,Cyber Security Specialist
Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Beginner,Intermediate,Intermediate,Intermediate,Cyber Security Specialist
Average,Average,Average,Professional,Average,Average,Average,Average,Average,Beginner,Intermediate,Cyber Security Specialist
Not Interested,Not Interested,Excellent,Professional,Not Interested,Not Interested,,No Experience,Not Interested,Not Interested,,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
Intermediate,,Competent,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Average,Intermediate,Cyber Security Specialist
Not Interested,Not Interested,No Experience,Advanced,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,No Experience,Not Interested,Cyber Security Specialist
Not Interested,Poor,Not Interested,Expert,Not Interested,Not Interested,Not Interested,No Experience,Not Interested,Not Interested,,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Poor,Poor,,Expert,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,,,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
Average,Average,Average,Professional,Intermediate,Average,Intermediate,Average,,Average,Intermediate,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Professional,Intermediate,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,Excellent,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Average,Beginner,Beginner,Beginner,Beginner,Cyber Security Specialist
Beginner,Beginner,Beginner,Professional,,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Cyber Security Specialist
Average,Average,Intermediate,Professional,Average,Average,Intermediate,Intermediate,Average,Average,Average,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Average,Cyber Security Specialist
Not Interested,Beginner,,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
Not Interested,,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Excellent,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
Excellent,Poor,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Intermediate,Intermediate,Average,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Cyber Security Specialist
Beginner,Beginner,Beginner,Professional,Beginner,Beginner,,Beginner,Beginner,Beginner,Beginner,Cyber Security Specialist
Excellent,Excellent,Average,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Intermediate,Intermediate,,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Not Interested,Intermediate,Average,Cyber Security Specialist
Competent,Intermediate,Intermediate,Professional,Intermediate,Average,Intermediate,,Competent,Intermediate,Intermediate,Cyber Security Specialist
Beginner,Novice,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Entry-level,Beginner,Cyber Security Specialist
Beginner,Beginner,Poor,Professional,Beginner,Beginner,Entry-level,Beginner,Beginner,Beginner,Beginner,Cyber Security Specialist
Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,No Experience,Average,No Experience,Cyber Security Specialist
Poor,Poor,Poor,Professional,,Poor,Poor,Poor,Poor,Not Interested,Poor,Cyber Security Specialist
Intermediate,,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Cyber Security Specialist
Poor,Poor,Poor,Professional,No Experience,Poor,Poor,Poor,,Poor,Poor,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Not Interested,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Excellent,Excellent,Intermediate,Advanced,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,,,Excellent,Excellent,Excellent,,Excellent,Cyber Security Specialist
Average,Average,Average,Professional,Average,Average,Average,Average,Intermediate,Average,Average,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,,Excellent,No Experience,Excellent,Excellent,Cyber Security Specialist
Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
No Experience,Poor,Excellent,Professional,Poor,,Poor,Poor,Poor,Poor,Poor,Cyber Security Specialist
Beginner,Beginner,Beginner,Professional,Poor,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Average,Average,Average,Professional,Average,Average,Beginner,Average,Average,Intermediate,Average,Cyber Security Specialist
Intermediate,Intermediate,Intermediate,Professional,Intermediate,Competent,,Intermediate,Intermediate,Intermediate,Intermediate,Cyber Security Specialist
Poor,Poor,Poor,Professional,Poor,Poor,Poor,No Experience,Poor,No Experience,Poor,Cyber Security Specialist
Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,No Experience,Beginner,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Advanced,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
Intermediate,Intermediate,Intermediate,Professional,,Intermediate,Intermediate,,Competent,Intermediate,Intermediate,Cyber Security Specialist
Poor,Poor,Poor,Professional,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Intermediate,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Beginner,,Beginner,Professional,Novice,Beginner,Beginner,Beginner,Entry-level,Beginner,,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Poor,Excellent,Excellent,,Excellent,Cyber Security Specialist
Not Interested,Not Interested,Intermediate,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,Cyber Security Specialist
Average,Average,Poor,Professional,Average,Average,Average,Average,Average,Average,Average,Cyber Security Specialist
Intermediate,Intermediate,Intermediate,Professional,Excellent,Intermediate,Average,Intermediate,Intermediate,Intermediate,Intermediate,Cyber Security Specialist
Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Cyber Security Specialist
Average,Average,Average,Professional,,Average,Average,Average,Average,Average,Average,Cyber Security Specialist
Average,Average,Intermediate,Professional,Average,Intermediate,Average,Average,Average,Average,Average,Cyber Security Specialist
Intermediate,Average,,Professional,Average,Average,Average,Average,No Experience,Average,Average,Cyber Security Specialist
Poor,,Poor,Professional,No Experience,Poor,Poor,Poor,No Experience,Poor,Poor,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Average,Excellent,Excellent,Excellent,,Excellent,Excellent,Cyber Security Specialist
,Average,Average,Advanced,,Average,Average,,Excellent,Average,Average,Cyber Security Specialist
Intermediate,Excellent,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Cyber Security Specialist
Not Interested,Not Interested,No Experience,Professional,Not Interested,Not Interested,Not Interested,,No Experience,Not Interested,Not Interested,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Intermediate,,Intermediate,Professional,Intermediate,Competent,Excellent,Intermediate,Intermediate,,Competent,Cyber Security Specialist
Entry-level,,,Professional,Novice,Entry-level,Beginner,Beginner,Beginner,Beginner,Beginner,Cyber Security Specialist
Excellent,Excellent,Excellent,Advanced,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Average,Cyber Security Specialist
Average,,Average,Professional,Average,,Average,Average,Average,Average,Average,Cyber Security Specialist
,Beginner,Not Interested,Professional,,Entry-level,Beginner,Novice,Novice,Novice,Beginner,Cyber Security Specialist
Poor,,Poor,Professional,No Experience,Poor,Poor,Poor,Poor,Poor,,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Intermediate,Excellent,Excellent,Excellent,Cyber Security Specialist
,,,Professional,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
Beginner,Not Interested,Not Interested,Professional,Not Interested,No Experience,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Cyber Security Specialist
Intermediate,Intermediate,Intermediate,Professional,Beginner,Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,Cyber Security Specialist
Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Cyber Security Specialist
Average,,Average,Professional,Average,Average,Average,Average,Average,Average,Average,Cyber Security Specialist
Average,Average,Average,Professional,Average,Average,Average,Average,Average,Poor,Average,Cyber Security Specialist
Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Poor,Intermediate,Intermediate,Cyber Security Specialist
No Experience,Poor,Poor,Professional,Poor,,Poor,Poor,No Experience,Poor,Poor,Cyber Security Specialist
Average,Average,Average,Professional,Intermediate,Average,Average,Average,Average,Average,Intermediate,Cyber Security Specialist
Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Cyber Security Specialist
Average,Average,Average,Expert,Average,Average,Intermediate,,Average,Average,Average,Cyber Security Specialist
Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Novice,Beginner,Beginner,Beginner,Beginner,Cyber Security Specialist
Beginner,Beginner,,Professional,,Beginner,Beginner,Beginner,Beginner,Beginner,Entry-level,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
Average,Average,Average,Professional,Intermediate,Average,Intermediate,Average,Average,Average,Average,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Poor,Poor,Poor,Advanced,Poor,No Experience,Poor,Poor,Poor,Poor,Poor,Cyber Security Specialist
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,No Experience,Poor,Cyber Security Specialist
Poor,Poor,Poor,Professional,Poor,Beginner,Poor,Poor,No Experience,Poor,Poor,Cyber Security Specialist
Poor,Poor,Poor,Professional,Poor,Poor,Poor,,Poor,Poor,Excellent,Cyber Security Specialist
Average,Intermediate,Average,Professional,Average,Average,Average,Average,Average,Average,Average,Cyber Security Specialist
