Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,Project Management,Computer Forensics Fundamentals,Technical Communication,AI ML,Software Engineering,Business Analysis,Data Science,Troubleshooting skills,Role
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Average,Excellent,,Excellent,Excellent,Technical Writer
Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,Intermediate,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Software tester
Not Interested,Not Interested,Not Interested,Excellent,Not Interested,Not Interested,Not Interested,,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Information Security Specialist
Poor,,Not Interested,Not Interested,Not Interested,N/A,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,AI ML Specialist
Not Interested,Not Interested,Not Interested,N/A,Not Interested,Professional,Not Interested,,Not Interested,Not Interested,Not Interested,Average,Not Interested,,N/A,Software Developer
Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Data Scientist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,None,Not Interested,Not Interested,Not Interested,Not Interested,Graphics Designer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Intermediate,,Intermediate,Competent,Intermediate,Intermediate,Professional,Intermediate,Data Scientist
Poor,Poor,Poor,Poor,Poor,,Excellent,Poor,,Poor,Poor,Poor,,Poor,Poor,Software Developer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Not Interested,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Software tester
None,Not Interested,No Experience,Not Interested,Not Interested,Professional,N/A,Not Interested,Not Interested,Not Interested,Competent,Not Interested,Not Interested,Not Interested,Not Interested,Software Developer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Not Interested,Average,Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,Intermediate,Intermediate,Graphics Designer
Intermediate,Intermediate,Average,Intermediate,Intermediate,Average,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Excellent,Intermediate,Intermediate,Software tester
Beginner,Beginner,,Beginner,Beginner,Beginner,Intermediate,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Graphics Designer
Entry-level,Beginner,Beginner,Entry-level,Not Interested,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Novice,,Beginner,Entry-level,Software Developer
Average,Professional,Average,Average,Average,Average,Intermediate,Average,Average,Average,Intermediate,Average,Average,Average,,Hardware Engineer
Average,Average,Average,Average,Average,Intermediate,Average,Poor,Average,Average,Average,Average,Intermediate,Professional,Intermediate,Data Scientist
Average,Average,Average,Intermediate,Average,Intermediate,Professional,Average,Average,Average,Intermediate,Average,Intermediate,Poor,,API Specialist
Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Beginner,Poor,Poor,Poor,Poor,Graphics Designer
Average,Average,Average,Intermediate,Average,Average,Average,Average,Average,Average,Average,,Average,Average,Average,Customer Service Executive
Intermediate,Intermediate,Intermediate,Not Interested,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Helpdesk Engineer
Average,Intermediate,Beginner,Average,Average,Average,Intermediate,Average,Average,Average,Intermediate,Average,Average,Advanced,Average,Data Scientist
Poor,Poor,Poor,Poor,Poor,Excellent,Poor,,Poor,Poor,Poor,Professional,Poor,Poor,,Software tester
Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Average,No Experience,Poor,Poor,Poor,Poor,Hardware Engineer
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Business Analyst
Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Professional,Helpdesk Engineer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Average,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Software Developer
Poor,,Intermediate,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Software Developer
No Experience,Poor,No Experience,Poor,Intermediate,Poor,No Experience,Poor,Professional,No Experience,Poor,,Poor,Poor,Poor,Information Security Specialist
Excellent,Excellent,Excellent,Excellent,Excellent,Advanced,Excellent,Excellent,Excellent,Excellent,Excellent,,Intermediate,Excellent,Excellent,Software Developer
Beginner,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Customer Service Executive
Poor,Poor,Poor,Beginner,No Experience,Poor,Poor,Poor,Poor,No Experience,No Experience,Professional,Poor,Poor,Poor,Software tester
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Intermediate,,Intermediate,,Professional,Intermediate,Intermediate,Intermediate,Software tester
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Data Scientist
Poor,No Experience,Poor,Poor,Poor,Average,Poor,Poor,Poor,Poor,,Poor,Professional,Poor,No Experience,Business Analyst
Average,Average,Average,Average,Average,Intermediate,,Average,Average,Average,Professional,,Average,Average,Average,AI ML Specialist
Beginner,Beginner,Novice,Beginner,Beginner,Not Interested,Beginner,Beginner,,Beginner,Beginner,Entry-level,Beginner,Beginner,Beginner,Graphics Designer
Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,No Experience,Poor,Poor,Intermediate,Poor,No Experience,Information Security Specialist
Average,Average,Average,Intermediate,Average,Average,Intermediate,Average,Average,Professional,Average,Average,Average,Average,Average,Technical Writer
Excellent,Excellent,Excellent,Intermediate,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,AI ML Specialist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,None,Not Interested,Software tester
Excellent,Excellent,Excellent,,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Software Developer
Excellent,Excellent,,Professional,Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Poor,Professional,Poor,Excellent,Poor,Poor,No Experience,Poor,Poor,No Experience,Poor,Poor,Poor,Poor,Poor,Hardware Engineer
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Expert,Excellent,Excellent,Excellent,Poor,AI ML Specialist
Intermediate,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Advanced,N/A,No Experience,Not Interested,Not Interested,Not Interested,Not Interested,Information Security Specialist
Beginner,Not Interested,Beginner,Beginner,Beginner,Entry-level,Beginner,Beginner,Beginner,Beginner,Entry-level,Professional,,Beginner,Beginner,Software tester
Intermediate,Intermediate,Intermediate,Intermediate,Average,Intermediate,Professional,Intermediate,Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,Average,API Specialist
Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Cyber Security Specialist
Poor,No Experience,Poor,No Experience,Poor,Poor,,Intermediate,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Graphics Designer
Intermediate,Professional,Intermediate,Average,Intermediate,Intermediate,Intermediate,Excellent,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,,Hardware Engineer
Professional,,Beginner,Beginner,Beginner,Beginner,Beginner,Excellent,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Database Administrator
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,,,Beginner,Entry-level,Beginner,Entry-level,Professional,Helpdesk Engineer
Beginner,Beginner,Beginner,Beginner,Professional,Beginner,,Beginner,Average,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Networking Engineer
Professional,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Intermediate,Average,Average,Average,Database Administrator
Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,No Experience,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Networking Engineer
Professional,Intermediate,Average,Average,Average,Average,Average,Excellent,Average,Average,Average,Average,Average,Average,Average,Database Administrator
Poor,No Experience,Intermediate,Poor,No Experience,No Experience,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,No Experience,Business Analyst
Professional,Poor,Poor,Poor,,Poor,Poor,Poor,Excellent,No Experience,Poor,,Poor,Poor,Poor,Database Administrator
Poor,Competent,Intermediate,Intermediate,Intermediate,,Average,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Professional,Intermediate,,Business Analyst
Average,Average,Intermediate,Professional,Average,Average,No Experience,Average,Average,Average,Average,Average,Average,Average,Average,Cyber Security Specialist
Not Interested,Average,Average,Average,Average,Average,Average,Average,Professional,Average,Intermediate,Average,Average,Average,,Information Security Specialist
Excellent,Excellent,Excellent,Excellent,Intermediate,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Customer Service Executive
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Poor,,Intermediate,Average,Customer Service Executive
Excellent,Excellent,,Excellent,Average,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Helpdesk Engineer
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,,Excellent,Cyber Security Specialist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,None,Intermediate,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Graphics Designer
Poor,No Experience,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Not Interested,No Experience,Professional,Poor,Poor,Poor,Software tester
Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Data Scientist
Professional,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Average,Excellent,Excellent,Database Administrator
Intermediate,Professional,Competent,Intermediate,Intermediate,Excellent,Competent,Intermediate,Intermediate,Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,Hardware Engineer
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,None,Not Interested,Information Security Specialist
Average,Average,Average,Average,Average,Intermediate,Average,Average,Average,Intermediate,Average,Professional,Average,Average,Average,Software tester
Not Interested,No Experience,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Excellent,Not Interested,Advanced,Not Interested,Not Interested,Not Interested,Software tester
,Professional,Excellent,,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Hardware Engineer
Novice,Entry-level,Beginner,Poor,Entry-level,,Beginner,,Beginner,Entry-level,Beginner,Beginner,Beginner,Beginner,Beginner,Customer Service Executive
Not Interested,Not Interested,Not Interested,N/A,Not Interested,Not Interested,Not Interested,,No Experience,Professional,None,,Not Interested,Not Interested,Not Interested,Technical Writer
Excellent,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Advanced,Intermediate,Intermediate,Intermediate,Average,Intermediate,Intermediate,Information Security Specialist
Poor,Poor,Poor,Poor,Professional,Average,Poor,No Experience,Poor,Poor,Poor,Poor,Poor,Poor,,Networking Engineer
Competent,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Competent,Intermediate,Technical Writer
Beginner,Beginner,Beginner,Beginner,Excellent,Entry-level,Beginner,Beginner,Beginner,Novice,,Beginner,Beginner,Beginner,Professional,Helpdesk Engineer
Intermediate,Professional,Average,Average,Average,Average,Average,Excellent,Average,Average,Average,Average,Average,Average,,Hardware Engineer
Professional,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Not Interested,Database Administrator
,Excellent,Beginner,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,API Specialist
Beginner,Beginner,Not Interested,Beginner,Beginner,Novice,Entry-level,Beginner,Beginner,Beginner,Beginner,Entry-level,Beginner,Beginner,Beginner,Graphics Designer
Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Average,Excellent,Excellent,Excellent,Information Security Specialist
Novice,Beginner,Beginner,Beginner,Beginner,Beginner,Poor,Beginner,,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Information Security Specialist
Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Average,Beginner,,Beginner,Entry-level,Software Developer
Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Helpdesk Engineer
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Average,Excellent,Excellent,Customer Service Executive
Average,Average,Average,Average,Average,Average,Intermediate,Average,Professional,Average,Average,Average,Average,Intermediate,Average,Information Security Specialist
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,,Intermediate,Intermediate,Intermediate,Intermediate,Average,Information Security Specialist
Professional,Average,Average,Average,Average,Average,Average,Intermediate,Average,Average,Average,Average,Average,Average,Average,Database Administrator
Not Interested,,Not Interested,Expert,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Cyber Security Specialist
Entry-level,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Entry-level,Beginner,Beginner,Professional,Helpdesk Engineer
Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Data Scientist
Average,Average,Average,Intermediate,Professional,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Networking Engineer
Professional,Intermediate,Intermediate,,Intermediate,Intermediate,Average,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Average,Intermediate,Database Administrator
Average,Intermediate,Average,Average,Average,Intermediate,Average,Average,,Poor,Advanced,Average,Average,Average,Average,AI ML Specialist
Average,Average,Average,Average,Average,Professional,Average,Average,Average,Intermediate,Average,Average,Intermediate,Excellent,Average,Software Developer
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Customer Service Executive
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,N/A,Not Interested,N/A,None,Not Interested,Not Interested,Not Interested,None,No Experience,Not Interested,Customer Service Executive
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,API Specialist
Novice,Beginner,Poor,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Novice,Beginner,Beginner,Beginner,Beginner,Beginner,Customer Service Executive
,Not Interested,Beginner,Beginner,Beginner,Professional,Novice,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Software Developer
Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Software Developer
Poor,Poor,Poor,Poor,Poor,Poor,No Experience,Poor,No Experience,No Experience,Poor,Intermediate,Professional,Poor,Poor,Business Analyst
Average,Average,Beginner,Average,Professional,Average,Average,Average,Average,Average,Average,Average,,Average,Average,Networking Engineer
Average,Average,Intermediate,Professional,Average,Intermediate,Average,Average,Average,Average,Average,Average,Average,Average,Average,Cyber Security Specialist
Average,Average,,Average,Excellent,Average,Average,Average,Average,Average,Average,Intermediate,Average,Professional,Average,Data Scientist
Intermediate,Average,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Intermediate,Intermediate,,,Intermediate,Intermediate,Intermediate,Networking Engineer
Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Not Interested,Excellent,Excellent,Excellent,Excellent,Excellent,Database Administrator
Average,Average,,Average,Average,Average,,Average,Average,Average,Professional,,Average,Average,Intermediate,AI ML Specialist
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,,Professional,Intermediate,Data Scientist
Not Interested,None,Not Interested,None,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Intermediate,Not Interested,Not Interested,No Experience,Technical Writer
Intermediate,Average,Average,Average,Average,Average,Poor,Average,Average,Average,Intermediate,Average,Average,Average,Average,Customer Service Executive
Beginner,Beginner,Beginner,Beginner,Professional,Novice,Beginner,Beginner,Intermediate,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Networking Engineer
Poor,Poor,,Expert,Poor,Poor,Poor,No Experience,Poor,No Experience,Poor,Poor,Poor,Poor,Poor,Cyber Security Specialist
Professional,Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,Intermediate,Intermediate,Average,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Database Administrator
Excellent,Excellent,Not Interested,Expert,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Cyber Security Specialist
Average,Average,Average,Average,Average,Intermediate,Average,Average,Average,Average,Average,Professional,Not Interested,Intermediate,Average,Software tester
Intermediate,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,,API Specialist
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,,Average,Intermediate,Intermediate,Intermediate,Excellent,Intermediate,Intermediate,Intermediate,Intermediate,Graphics Designer
Average,Average,Average,Average,Intermediate,Average,Professional,Intermediate,,Average,Average,Average,,Average,Average,API Specialist
Average,Average,Intermediate,Average,Average,Professional,Intermediate,Average,Average,Average,Average,Average,Intermediate,Average,Average,Software Developer
Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Database Administrator
Entry-level,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Expert,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Information Security Specialist
Professional,Beginner,Novice,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,,Beginner,Beginner,Beginner,Average,Database Administrator
Not Interested,Not Interested,Not Interested,Professional,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,None,Cyber Security Specialist
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Not Interested,Beginner,Beginner,Beginner,Beginner,Information Security Specialist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Beginner,Beginner,Graphics Designer
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Not Interested,Excellent,Professional,Helpdesk Engineer
Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Beginner,Excellent,Excellent,Excellent,Networking Engineer
Excellent,Excellent,Intermediate,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Networking Engineer
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Cyber Security Specialist
Poor,No Experience,Poor,Average,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,No Experience,AI ML Specialist
Beginner,Beginner,Poor,Novice,Beginner,Beginner,Beginner,,,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Technical Writer
Excellent,Excellent,Excellent,Excellent,Intermediate,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Expert,Excellent,Excellent,Excellent,Software tester
Poor,Poor,Poor,Poor,Professional,No Experience,Poor,,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Networking Engineer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Business Analyst
Not Interested,Intermediate,Intermediate,Intermediate,,Intermediate,Expert,Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,Intermediate,Intermediate,API Specialist
Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,AI ML Specialist
Average,Average,Intermediate,Average,Average,Average,Average,Average,Beginner,Average,Average,Average,Professional,,Average,Business Analyst
Not Interested,,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,Average,Professional,Not Interested,Not Interested,Business Analyst
Beginner,,Beginner,Beginner,Beginner,,Beginner,Excellent,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Hardware Engineer
Competent,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Average,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Data Scientist
Poor,Poor,Poor,Poor,Professional,Poor,No Experience,Poor,Average,Poor,Poor,Poor,Poor,Poor,Poor,Networking Engineer
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Average,Beginner,Beginner,Beginner,Beginner,Novice,Beginner,API Specialist
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,No Experience,Not Interested,Not Interested,Not Interested,Not Interested,,Information Security Specialist
Poor,Professional,Average,Average,Average,Average,Intermediate,Average,Average,Intermediate,Average,Average,Average,Average,Average,Hardware Engineer
Beginner,Advanced,Beginner,Beginner,,Beginner,Poor,Novice,Novice,Beginner,Beginner,Beginner,Beginner,,Beginner,Hardware Engineer
Intermediate,Poor,Intermediate,Competent,Intermediate,Intermediate,Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Business Analyst
Excellent,Professional,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Average,Excellent,Excellent,Hardware Engineer
Poor,Poor,Poor,Poor,Poor,Poor,Average,Poor,,Poor,,No Experience,Professional,Poor,Poor,Business Analyst
Poor,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Expert,Not Interested,Not Interested,,Not Interested,Not Interested,None,Not Interested,Not Interested,API Specialist
Not Interested,Not Interested,Intermediate,,Not Interested,Not Interested,N/A,Not Interested,None,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Hardware Engineer
Not Interested,Not Interested,Not Interested,Not Interested,Professional,None,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Excellent,Not Interested,Not Interested,Networking Engineer
